Frame,Total_Brightness,Average_Brightness,Max_Value,Max_X,Max_Y
0,68226441,75.49845189,255,769,253
1,68208804,75.47893502,255,769,253
2,68187653,75.45552961,255,776,253
3,68230174,75.50258277,255,792,253
4,68213933,75.4846107,255,769,253
5,68211163,75.48154546,255,766,253
6,68179061,75.44602182,255,769,253
7,68186558,75.4543179,255,858,253
8,68187040,75.45485127,255,867,253
9,68220261,75.49161318,255,787,253
10,68213840,75.48450779,255,773,253
11,68197761,75.46671499,255,769,253
12,68197166,75.46605657,255,778,253
13,68189632,75.45771955,255,798,253
14,68214339,75.48505998,255,775,253
15,68200251,75.46947039,255,776,253
16,68209369,75.47956024,255,776,253
17,68204549,75.4742265,255,775,253
18,68235193,75.50813673,255,775,253
19,68224765,75.49659725,255,775,253
20,68192747,75.46116656,255,773,253
21,68215605,75.48646092,255,765,253
22,68235125,75.50806148,255,765,253
23,68196844,75.46570025,255,766,253
24,68184560,75.45210694,255,766,253
25,68237273,75.51043843,255,775,253
26,68261309,75.53703634,255,785,253
27,68261314,75.53704187,255,785,253
28,68214730,75.48549265,255,827,253
29,67160579,74.31898349,255,779,253
30,68237425,75.51060663,255,779,253
31,68205149,75.47489045,255,776,253
32,68218114,75.48923734,255,776,253
33,68205554,75.47533862,255,774,253
34,68225213,75.497093,255,771,253
35,68231369,75.50390514,255,825,253
36,68231535,75.50408884,255,825,253
37,68160317,75.42527997,255,820,253
38,68153875,75.41815134,255,795,253
39,68155682,75.42015094,255,795,253
40,68128053,75.38957706,255,769,253
41,68130940,75.39277178,255,789,253
42,68144803,75.40811238,255,783,253
43,68140430,75.40327328,255,778,253
44,68115514,75.37570158,255,779,253
45,68113811,75.37381706,255,784,253
46,68112021,75.37183627,255,783,254
47,68103869,75.36281538,255,772,254
48,68111583,75.37135158,255,784,254
49,68138769,75.40143524,255,776,253
50,68126591,75.38795923,255,796,255
51,68043776,75.29631728,255,766,253
52,68049674,75.30284393,255,763,253
53,68033277,75.28469923,255,769,253
54,68041179,75.29344348,255,784,253
55,68044385,75.29699119,255,786,253
56,68049231,75.30235371,255,786,253
57,68017530,75.26727381,255,774,253
58,68048112,75.30111544,255,775,253
59,68052011,75.30543002,255,765,253
60,68056754,75.31067856,255,761,253
61,68043135,75.29560796,255,766,253
62,68019410,75.2693542,255,769,253
63,68016816,75.26648371,255,795,253
64,68004454,75.25280409,255,792,253
65,68002505,75.25064735,255,789,253
66,67985291,75.23159857,255,814,253
67,67982958,75.22901691,255,861,253
68,57140018,63.23036694,255,809,253
69,67937021,75.17818365,255,780,253
70,67955780,75.1989421,255,808,253
71,67961659,75.20544772,255,778,253
72,67995756,75.243179,255,782,253
73,67995984,75.2434313,255,782,253
74,67984265,75.23046322,255,779,253
75,67945323,75.18737053,255,777,253
76,67930511,75.17097977,255,776,253
77,67924764,75.16462022,255,770,253
78,67899721,75.13690798,255,793,253
79,67900284,75.13753098,255,793,253
80,67889293,75.12536849,255,795,253
81,67900080,75.13730524,255,795,253
82,67935934,75.17698079,255,853,253
83,67896370,75.13319981,255,795,253
84,67877475,75.11229086,255,790,251
85,67864674,75.09812544,255,801,252
86,67929190,75.16951797,255,814,253
87,67949322,75.19179577,255,784,256
88,67909508,75.14773814,255,785,253
89,67906260,75.14414394,255,781,253
90,67862201,75.09538885,255,775,252
91,67861682,75.09481454,255,771,252
92,67856534,75.08911783,255,792,251
93,67846362,75.07786163,255,774,251
94,67883740,75.11922362,255,772,251
95,67905834,75.14367254,255,787,254
96,67942460,75.18420237,255,827,253
97,67903233,75.14079431,255,780,252
98,67871460,75.10563474,255,768,251
99,67870413,75.10447614,255,768,251
100,67830584,75.06040191,255,766,251
101,67885606,75.12128851,255,867,253
102,67890507,75.12671189,255,795,253
103,67897442,75.13438607,255,774,252
104,67951644,75.19436526,255,775,252
105,67939302,75.18070777,255,776,252
106,67941591,75.18324075,255,776,252
107,67900814,75.13811748,255,778,251
108,67924257,75.16405918,255,776,251
109,67935509,75.17651049,255,811,251
110,67950799,75.1934302,255,779,251
111,67995868,75.24330294,255,785,252
112,67922304,75.16189802,255,775,251
113,67922188,75.16176965,255,784,250
114,67954329,75.19733645,255,770,251
115,68028369,75.2792681,255,787,251
116,68030235,75.28133299,255,787,251
117,68054489,75.30817214,255,783,251
118,68072695,75.32831865,255,769,251
119,68025558,75.27615749,255,776,251
120,68051840,75.30524079,255,791,251
121,68111654,75.37143015,255,784,251
122,68108005,75.36739222,255,784,251
123,68065579,75.32044418,255,782,251
124,68062248,75.31675814,255,823,251
125,68044330,75.29693033,255,777,251
126,68093211,75.35102138,255,774,251
127,68145041,75.40837575,255,770,251
128,68133991,75.39614797,255,785,251
129,68210224,75.48050637,255,781,251
130,68236709,75.50981431,255,777,251
131,68245669,75.51972933,255,771,251
132,68188330,75.45627877,255,788,251
133,68224054,75.49581046,255,770,251
134,68235426,75.50839456,255,766,251
135,68235149,75.50808804,255,766,251
136,68235212,75.50815775,255,769,251
137,68159836,75.4247477,255,776,249
138,68273063,75.55004316,255,780,251
139,68314982,75.59643015,255,784,251
140,68312516,75.59370131,255,868,251
141,68322173,75.60438762,255,771,251
142,68324771,75.60726253,255,771,251
143,68298438,75.57812279,255,780,251
144,65359483,72.32591515,255,821,250
145,68288811,75.56746968,255,805,249
146,68297019,75.57655254,255,770,250
147,68342241,75.62659459,255,777,251
148,68287744,75.56628895,255,775,249
149,68295577,75.57495684,255,773,249
150,68311073,75.59210451,255,778,249
151,68377591,75.66571242,255,857,251
152,68377613,75.66573677,255,857,251
153,68346818,75.63165944,255,861,250
154,68362629,75.64915567,255,858,288
155,68376708,75.6647353,255,779,249
156,68375335,75.66321596,255,823,249
157,68370790,75.65818653,255,823,249
158,68347912,75.63287004,255,784,249
159,68390208,75.67967422,255,849,251
160,68436573,75.7309811,255,778,251
161,68447158,75.74269432,255,778,251
162,68466060,75.76361101,255,776,251
163,68402925,75.69374668,255,779,249
164,68396877,75.68705405,255,770,249
165,68409940,75.70150938,255,787,249
166,68440698,75.73554577,255,865,251
167,68438875,75.73352846,255,865,251
168,68415325,75.70746835,255,848,251
169,68403241,75.69409636,255,788,249
170,68414640,75.70671034,255,846,249
171,68425727,75.71897906,255,802,249
172,68436587,75.73099659,255,863,249
173,68458417,75.75515337,255,782,251
174,68466964,75.76461137,255,849,251
175,68442686,75.73774566,255,856,249
176,68429470,75.72312102,255,787,249
177,68428221,75.72173889,255,806,249
178,68393657,75.68349084,255,816,249
179,68388191,75.67744224,255,780,249
180,68398797,75.68917869,255,779,249
181,68412016,75.70380666,255,845,249
182,68420534,75.71323256,255,861,249
183,68393269,75.68306148,255,787,249
184,68424959,75.71812921,255,784,249
185,68412479,75.70431901,255,813,249
186,68432701,75.7266964,255,784,249
187,68407640,75.69896424,255,792,249
188,68395697,75.68574827,255,810,249
189,68377644,75.66577107,255,856,249
190,68366870,75.65384871,255,793,247
191,68348233,75.63322526,255,784,249
192,68357003,75.64293002,255,784,249
193,68331436,75.61463792,255,796,249
194,68347077,75.63194604,255,796,249
195,68321048,75.60314271,255,770,249
196,68374918,75.66275451,255,777,249
197,68394060,75.68393679,255,777,249
198,68409809,75.70136442,255,775,249
199,68395996,75.68607914,255,777,249
200,68349457,75.63457972,255,800,247
201,68351950,75.63733844,255,800,247
202,68299019,75.57876571,255,776,247
203,68309920,75.59082861,255,777,247
204,68345718,75.63044219,255,770,249
205,68342131,75.62647287,255,778,249
206,68348339,75.63334255,255,778,249
207,68334881,75.61845012,255,775,249
208,68304096,75.58438385,255,776,247
209,68331358,75.61455161,255,775,247
210,68342111,75.62645073,255,779,247
211,68342017,75.62634672,255,779,247
212,68365713,75.65256839,255,780,249
213,68345870,75.63061039,255,776,249
214,68366402,75.65333083,255,777,249
215,68331710,75.61494113,255,772,247
216,68294284,75.57352603,255,794,247
217,68295833,75.57524013,255,794,247
218,68270626,75.54734641,255,768,247
219,68295565,75.57494356,255,795,247
220,68370986,75.65840342,255,769,249
221,68322618,75.60488005,255,770,247
222,68337494,75.62134163,255,851,247
223,68335515,75.61915169,255,851,247
224,68286131,75.56450403,255,756,247
225,68305811,75.58628165,255,784,247
226,68322840,75.60512571,255,769,247
227,68323948,75.60635181,255,770,247
228,68331315,75.61450403,255,766,247
229,68360708,75.64702992,255,763,247
230,68368030,75.65513235,255,769,247
231,68338932,75.6229329,255,784,247
232,68339829,75.6239255,255,784,247
233,68314186,75.59554931,255,770,245
234,68334987,75.61856741,255,768,247
235,68412303,75.70412425,255,778,248
236,68385150,75.67407711,255,762,247
237,68388089,75.67732936,255,763,247
238,68347444,75.63235216,255,768,247
239,68346795,75.63163399,255,851,247
240,68386943,75.67606122,255,766,248
241,68398597,75.68895737,255,767,247
242,68395717,75.68577041,255,767,247
243,68415333,75.7074772,255,768,247
244,68409822,75.70137881,255,865,247
245,68441742,75.73670104,255,795,247
246,68425462,75.71868582,255,769,246
247,68424162,75.71724726,255,851,247
248,68467614,75.76533065,255,768,247
249,68469113,75.76698942,255,768,247
250,68429917,75.72361566,255,760,247
251,68412856,75.70473619,255,779,246
252,68413316,75.70524522,255,779,246
253,68464765,75.76217798,255,807,245
254,68499372,75.80047362,255,779,246
255,68522918,75.8265293,255,861,247
256,68508167,75.81020605,255,786,245
257,68531199,75.83569294,255,785,247
258,68516359,75.8192712,255,769,247
259,68521361,75.82480635,255,787,247
260,68529281,75.83357051,255,770,245
261,68502150,75.80354772,255,768,245
262,68497453,75.79835008,255,765,245
263,68560254,75.86784481,255,819,248
264,68559896,75.86744865,255,819,248
265,68577928,75.88740262,255,784,247
266,68602768,75.91489023,255,832,247
267,68568981,75.87750199,255,738,283
268,68606738,75.91928337,255,778,245
269,65077883,72.01430042,255,820,245
270,68604622,75.91694184,255,771,245
271,68623095,75.93738381,255,771,245
272,68576037,75.88531007,255,784,245
273,68579744,75.88941218,255,784,245
274,68629095,75.94402333,255,817,247
275,68647574,75.96447194,255,782,247
276,68640614,75.9567701,255,864,245
277,68640678,75.95684092,255,863,245
278,68608985,75.92176987,255,816,245
279,68638766,75.95472512,255,782,246
280,68689248,76.01058782,255,780,246
281,68677956,75.99809225,255,782,245
282,68680691,76.00111876,255,782,245
283,68658431,75.97648615,255,782,245
284,68652115,75.96949695,255,795,245
285,68688337,76.00957972,255,779,245
286,58300903,64.5149865,255,759,245
287,68691729,76.01333326,255,759,245
288,68693890,76.01572459,255,771,246
289,68721135,76.04587354,255,786,245
290,68735401,76.0616601,255,786,245
291,68735636,76.06192015,255,775,245
292,68719383,76.0439348,255,863,245
293,68719233,76.04376881,255,858,246
294,68683718,76.0044684,255,874,245
295,68699667,76.02211734,255,792,245
296,68703783,76.02667205,255,792,245
297,68693165,76.01492232,255,792,245
298,68697277,76.0194726,255,784,245
299,68738952,76.06558959,255,768,245
300,68739441,76.06613071,255,768,245
301,68744959,76.07223685,255,780,245
302,68704167,76.02709698,255,780,245
303,68723215,76.04817524,255,775,245
304,68721882,76.04670016,255,853,246
305,68739543,76.06624358,255,862,246
306,68740268,76.06704586,255,780,245
307,68739998,76.06674708,255,780,245
308,68716706,76.04097247,255,1045,251
309,68726796,76.05213792,255,1035,248
310,68702014,76.0247145,255,1037,247
311,68736592,76.06297805,255,865,246
312,68745369,76.07269055,255,851,246
313,68692698,76.01440554,255,868,245
314,68705917,76.02903351,255,865,245
315,68692354,76.01402488,255,878,246
316,68710367,76.03395782,255,828,245
317,68707513,76.03079962,255,1027,251
318,68708239,76.031603,255,785,243
319,68714826,76.03889209,255,818,245
320,68717060,76.0413642,255,859,245
321,68701333,76.02396092,255,788,245
322,68731996,76.05789217,255,785,245
323,68739741,76.06646269,255,777,243
324,68738242,76.06480391,255,776,243
325,68727142,76.0525208,255,772,243
326,68715736,76.03989908,255,865,246
327,68717637,76.0420027,255,1042,247
328,68708186,76.03154435,255,864,246
329,68680917,76.00136885,255,863,246
330,68679611,75.99992365,255,817,244
331,68690577,76.01205847,255,817,243
332,68690301,76.01175305,255,814,243
333,68695724,76.01775407,255,853,244
334,68687633,76.00880068,255,1030,247
335,68689679,76.01106476,255,792,243
336,59759470,66.12901691,255,865,243
337,68632322,75.94759428,255,816,244
338,68661947,75.9803769,255,862,246
339,68659142,75.97727293,255,812,243
340,68638719,75.95467311,255,784,243
341,68633226,75.94859464,255,784,244
342,68633711,75.94913133,255,784,244
343,68595022,75.90631861,255,822,243
344,68613673,75.92695755,255,780,243
345,68636741,75.95248429,255,788,243
346,68614324,75.92767794,255,783,243
347,68624011,75.93839744,255,784,243
348,68608954,75.92173557,255,869,245
349,68611394,75.92443564,255,869,245
350,68617956,75.93169706,255,867,246
351,68576913,75.88627944,255,784,243
352,62829167,69.52590187,255,823,243
353,68560116,75.8676921,255,823,243
354,68598872,75.91057897,255,786,243
355,68580299,75.89002634,255,876,243
356,68609354,75.9221782,255,787,243
357,68623835,75.93820268,255,864,244
358,68606766,75.91931436,255,864,244
359,68570537,75.87922384,255,779,243
360,68581839,75.89173048,255,779,243
361,68623298,75.93760845,255,779,244
362,68628794,75.94369024,255,779,244
363,68555619,75.86271578,255,781,243
364,68578573,75.88811637,255,868,243
365,68550569,75.85712752,255,813,243
366,68553463,75.86032998,255,796,243
367,68561521,75.86924686,255,796,243
368,68535707,75.84068144,255,788,243
369,68571663,75.88046986,255,792,243
370,68554271,75.86122411,255,857,243
371,68555496,75.86257967,255,785,243
372,68544860,75.85081002,255,859,243
373,68546662,75.85280409,255,859,243
374,68556147,75.86330006,255,776,243
375,68526345,75.83032157,255,778,241
376,68533851,75.83862761,255,869,244
377,68537096,75.84221848,255,869,244
378,68560588,75.86821441,255,784,243
379,68595063,75.90636398,255,938,249
380,68597725,75.90930971,255,782,243
381,68606868,75.91942723,255,777,243
382,68602365,75.91444427,255,868,244
383,68578206,75.88771025,255,779,241
384,68574402,75.8835008,255,779,241
385,68602832,75.91496105,255,779,241
386,68613826,75.92712686,255,786,243
387,68613614,75.92689226,255,786,243
388,68591265,75.90216116,255,783,243
389,68606578,75.91910632,255,827,243
390,68617802,75.93152665,255,863,241
391,68625575,75.94012814,255,782,241
392,68644877,75.96148747,255,785,241
393,68684144,76.0049398,255,873,244
394,68703914,76.02681701,255,875,243
395,68696508,76.01862164,255,870,244
396,68706342,76.02950381,255,869,241
397,68701812,76.02449097,255,869,241
398,68673894,75.99359729,255,866,243
399,68678918,75.99915678,255,859,243
400,63309046,70.05692944,255,814,243
401,68674289,75.99403439,255,782,242
402,68678663,75.9988746,255,782,242
403,68750324,76.07817369,255,919,243
404,68752238,76.0802917,255,883,243
405,68766366,76.09592555,255,881,243
406,68765565,76.09503917,255,884,243
407,68766401,76.09596428,255,884,243
408,68754220,76.08248495,255,883,243
409,68755270,76.08364687,255,785,242
410,68774584,76.10501948,255,784,241
411,68799756,76.13287447,255,883,243
412,68798400,76.13137394,255,883,243
413,68772243,76.10242896,255,878,243
414,62234700,68.86807277,255,874,241
415,68815181,76.14994356,255,865,241
416,68862765,76.20259937,255,861,243
417,68860963,76.2006053,255,861,243
418,68867523,76.20786451,255,798,242
419,68888989,76.23161849,255,861,241
420,68911209,76.25620684,255,791,241
421,68944725,76.29329519,255,861,243
422,68943108,76.29150584,255,861,243
423,68857389,76.19665036,255,861,241
424,68912696,76.25785234,255,857,243
425,68914244,76.25956533,255,790,241
426,68916127,76.26164904,255,791,241
427,68976309,76.32824562,255,760,241
428,69033787,76.39184999,255,785,242
429,69015325,76.37142019,255,843,241
430,69032805,76.39076332,255,878,241
431,68992698,76.34638146,255,877,240
432,69010697,76.36629891,255,843,241
433,69027424,76.38480878,255,877,241
434,69043867,76.40300438,255,782,241
435,69046201,76.40558715,255,845,241
436,69053474,76.41363536,255,787,241
437,69031897,76.38975854,255,787,241
438,69053859,76.41406139,255,869,239
439,69122617,76.49014806,255,863,240
440,69138448,76.50766643,255,824,241
441,69159909,76.53141488,255,859,239
442,69174242,76.54727558,255,859,239
443,69174021,76.54703103,255,859,239
444,69131776,76.50028329,255,859,239
445,69162482,76.53426213,255,857,239
446,69166464,76.53866856,255,860,239
447,69167777,76.5401215,255,860,239
448,69162683,76.53448455,255,857,239
449,69191730,76.56662757,255,853,240
450,63788911,70.58794153,255,787,239
451,69226564,76.6051744,255,845,239
452,69274103,76.65778041,255,779,239
453,69254466,76.63605037,255,779,239
454,69230650,76.60969591,255,804,239
455,69241470,76.62166917,255,838,239
456,69270890,76.65422495,255,838,239
457,69255641,76.63735061,255,837,240
458,69276845,76.66081467,255,836,239
459,69281275,76.66571685,255,777,239
460,68065484,75.32033906,255,806,239
461,69283960,76.66868803,255,836,239
462,69312152,76.69988492,255,834,239
463,69302458,76.68915767,255,774,239
464,69287160,76.67222911,255,768,239
465,69314465,76.70244445,255,792,239
466,69319860,76.70841448,255,819,237
467,69328856,76.71836933,255,819,237
468,69358496,76.75116856,255,819,237
469,69341340,76.73218396,255,819,238
470,69319276,76.70776824,255,786,239
471,69351817,76.74377766,255,818,239
472,69320005,76.70857494,255,818,239
473,69364169,76.75744622,255,816,237
474,69351693,76.74364045,255,782,239
475,69349539,76.74125686,255,812,237
476,69386798,76.78248716,255,808,237
477,69397730,76.79458437,255,808,237
478,69398602,76.79554931,255,808,237
479,69396197,76.79288797,255,805,237
480,69435852,76.83676965,255,870,237
481,69443633,76.84538,255,869,237
482,69420986,76.82031914,255,865,237
483,69421351,76.82072304,255,865,237
484,69427940,76.82801434,255,869,237
485,69448232,76.85046919,255,867,237
486,69463286,76.86712774,255,863,237
487,69446479,76.84852935,255,862,237
488,69509250,76.91799088,255,788,237
489,69495268,76.90251859,255,783,237
490,69494457,76.90162115,255,780,237
491,69516112,76.92558428,255,778,237
492,69525153,76.93558893,255,778,237
493,69505137,76.91343949,255,845,237
494,69541577,76.9537635,255,778,237
495,69557090,76.97092998,255,875,237
496,69554501,76.96806502,255,855,237
497,69558737,76.97275252,255,778,237
498,69522398,76.93254028,255,776,237
499,69553669,76.96714434,255,773,237
500,69547010,76.95977558,255,834,237
501,69541555,76.95373916,255,859,235
502,69544817,76.95734884,255,859,235
503,69571204,76.98654834,255,756,237
504,69580925,76.99730546,255,856,235
505,69553012,76.96641732,255,823,235
506,69565226,76.97993316,255,857,236
507,69565375,76.98009804,255,857,236
508,69553800,76.96728931,255,822,237
509,69571287,76.98664018,255,854,235
510,69596333,77.01435575,255,758,237
511,69529531,76.94043356,255,818,235
512,69691394,77.11954896,255,820,236
513,69615186,77.03521822,255,811,235
514,69567177,76.98209211,255,806,235
515,69593411,77.0111223,255,803,235
516,69610176,77.02967422,255,803,235
517,69609529,77.02895826,255,803,235
518,69584325,77.00106786,255,811,235
519,69593736,77.01148194,255,810,235
520,69611595,77.03124447,255,806,235
521,69613337,77.03317214,255,803,235
522,69606716,77.02584543,255,803,235
523,69585979,77.00289815,255,800,235
524,69576277,76.99216205,255,792,235
525,69579522,76.99575292,255,786,235
526,69616137,77.03627058,255,817,233
527,69630426,77.0520826,255,781,235
528,69629981,77.05159016,255,781,235
529,69578451,76.99456777,255,779,235
530,69583731,77.00041054,255,777,235
531,69600174,77.01860614,255,776,235
532,69590230,77.00760225,255,778,235
533,69583841,77.00053227,255,779,235
534,69583526,77.00018369,255,779,235
535,69613546,77.03340342,255,778,235
536,69616888,77.03710163,255,774,235
537,69631787,77.05358866,255,807,234
538,69599951,77.01835938,255,786,233
539,69631300,77.05304975,255,794,234
540,69647910,77.07143015,255,823,233
541,69660330,77.08517396,255,820,233
542,69645877,77.06918046,255,788,233
543,69646056,77.06937854,255,788,233
544,69608724,77.02806746,255,819,233
545,69611208,77.03081622,255,819,233
546,69611336,77.03095786,255,788,233
547,69629840,77.05143414,255,787,233
548,69626708,77.04796831,255,785,233
549,69628983,77.05048579,255,785,233
550,69639370,77.0619799,255,784,233
551,69642660,77.06562057,255,778,233
552,69673593,77.09985061,255,807,233
